contrato,bloqueio
1.77886342,MIGRACAO INDEVIDA
1.336359940,MIGRACAO INDEVIDA
1.316291801,MIGRACAO INDEVIDA
1.316972434,MIGRACAO INDEVIDA
1.330774551,MIGRACAO INDEVIDA
1.328606900,MIGRACAO INDEVIDA
1.76893208,MIGRACAO INDEVIDA
1.321272318,MIGRACAO INDEVIDA
1.88585010,MIGRACAO INDEVIDA
1.261064865,MIGRACAO INDEVIDA
1.85325137,MIGRACAO INDEVIDA
1.333068445,MIGRACAO INDEVIDA
1.322501725,MIGRACAO INDEVIDA
1.316278916,MIGRACAO INDEVIDA
1.77165628,MIGRACAO INDEVIDA
1.314624498,MIGRACAO INDEVIDA
1.84751852,MIGRACAO INDEVIDA
1.318207807,MIGRACAO INDEVIDA
1.49921008,MIGRACAO INDEVIDA
1.318345111,MIGRACAO INDEVIDA
1.333189575,MIGRACAO INDEVIDA
1.83918043,MIGRACAO INDEVIDA
1.316339335,MIGRACAO INDEVIDA
1.322712012,MIGRACAO INDEVIDA
1.77789598,MIGRACAO INDEVIDA
1.84439047,MIGRACAO INDEVIDA
1.321207190,MIGRACAO INDEVIDA
1.314810303,MIGRACAO INDEVIDA
1.297946545,MIGRACAO INDEVIDA
1.297940543,MIGRACAO INDEVIDA
1.313907035,MIGRACAO INDEVIDA
1.328061749,MIGRACAO INDEVIDA
1.327966034,MIGRACAO INDEVIDA
1.321783061,MIGRACAO INDEVIDA
1.324820467,MIGRACAO INDEVIDA
1.314932142,MIGRACAO INDEVIDA
1.319975762,MIGRACAO INDEVIDA
1.327748023,MIGRACAO INDEVIDA
1.320422350,MIGRACAO INDEVIDA
1.85543234,MIGRACAO INDEVIDA
1.334823527,MIGRACAO INDEVIDA
1.264058673,MIGRACAO INDEVIDA
1.330441243,MIGRACAO INDEVIDA
1.88119495,MIGRACAO INDEVIDA
1.81465256,MIGRACAO INDEVIDA
1.262429299,MIGRACAO INDEVIDA
1.82949736,MIGRACAO INDEVIDA
1.83623256,MIGRACAO INDEVIDA
1.316245726,MIGRACAO INDEVIDA
1.81786773,MIGRACAO INDEVIDA
1.332693462,MIGRACAO INDEVIDA
1.88477560,MIGRACAO INDEVIDA
7.1846261,MIGRACAO INDEVIDA
1.263476571,MIGRACAO INDEVIDA
1.265270147,MIGRACAO INDEVIDA
1.310140465,MIGRACAO INDEVIDA
1.261891960,MIGRACAO INDEVIDA
1.302042117,MIGRACAO INDEVIDA
1.307061762,MIGRACAO INDEVIDA
1.315028404,MIGRACAO INDEVIDA
1.82638775,MIGRACAO INDEVIDA
1.299309874,MIGRACAO INDEVIDA
1.71329346,MIGRACAO INDEVIDA
1.84496431,MIGRACAO INDEVIDA
1.87384191,MIGRACAO INDEVIDA
1.268250921,MIGRACAO INDEVIDA
