contrato,produto
1.32385328,POS
1.334956106,POS
1.76950795,CONTROLE
7.1928988,CORPORATE
1.337439502,CONTROLE
1.333567812,CONTROLE
7.17736961010,CONTROLE
1.336651630,CONTROLE
1.339311912,CONTROLE
1.331466538,CONTROLE
1.335194182,CONTROLE
1.334615830,LIVE
1.305159146,CONTROLE
1.320054005,LIVE
1.338763503,CONTROLE
1.331248120,CONTROLE
1.54160710,CONTROLE
1.337696852,CONTROLE
1.330241882,POS
1.335916304,CONTROLE
1.337985210,CONTROLE
1.330572721,CONTROLE
1.56990217,CONTROLE
1.341094719,CONTROLE
1.333518252,CONTROLE
1.316054032,CONTROLE
1.327766985,POS
1.336693143,CONTROLE
1.334457090,CONTROLE
1.334455873,CONTROLE
1.334450114,CONTROLE
1.332026947,CONTROLE
1.321801670,CONTROLE
1.332271083,CONTROLE
1.340773048,CONTROLE
1.324612033,CONTROLE
1.76322370,CONTROLE
1.76896166,CONTROLE
1.337500363,CONTROLE
1.330420846,CONTROLE
1.334024433,LIVE
1.326660293,CONTROLE
1.77886342,CONTROLE
1.339456260,CONTROLE
1.297785290,CONTROLE
1.316162894,POS
1.330675132,CONTROLE
1.329010346,LIVE
1.337641318,CONTROLE
1.338349525,CONTROLE
1.336359940,CONTROLE
1.334166136,CONTROLE
1.337718588,CONTROLE
1.330828887,CONTROLE
1.327902983,CONTROLE
1.333510359,POS
1.331452638,POS
1.264016362,CONTROLE
1.316291801,CONTROLE
1.316972434,POS
1.328247517,CONTROLE
1.330774551,POS
1.333615495,LIVE
1.332187586,CONTROLE
1.336747953,CONTROLE
1.324215859,CONTROLE
1.321070075,CONTROLE
1.324179700,CONTROLE
1.318673408,CONTROLE
1.318377884,CONTROLE
1.330759514,POS
1.339901895,CONTROLE
1.336798177,CONTROLE
1.332126283,POS
1.334534718,CONTROLE
1.334231644,CONTROLE
1.331327659,POS
1.335378393,CONTROLE
1.328606900,POS
1.330536643,CONTROLE
1.335068604,CONTROLE
1.330362130,CONTROLE
1.84302450,CONTROLE
1.326679005,POS
1.317088907,CONTROLE
1.335259868,CONTROLE
1.329809590,CONTROLE
1.332854328,LIVE
1.330901099,CONTROLE
1.332073120,CONTROLE
1.332072788,CONTROLE
1.324699895,POS
1.316079208,CONTROLE
1.76893208,CONTROLE
1.333774143,CONTROLE
1.333251038,CONTROLE
1.292890934,LIVE
1.330654587,CONTROLE
1.333978733,CONTROLE
1.337356000,CONTROLE
1.340264663,POS
1.335348186,POS
1.335349258,CONTROLE
1.321272318,CONTROLE
1.88585010,CONTROLE
1.325878493,POS
1.337772561,CONTROLE
1..331115283,CONTROLE
1.339119549,CONTROLE
1.261267156,LIVE
1.341316836,CONTROLE
1.337554634,POS
7.2105690,CORPORATE
1.338224026,CONTROLE
1.299994351,CONTROLE
1.338308463,CONTROLE
7.2059446,CORPORATE
1.263455381,POS
1.334429943,POS
1.332361028,CONTROLE
1.330516739,CONTROLE
1.331878884,POS
1.331878964,POS
1.331881173,POS
1.335868239,CONTROLE
1.331262880,CONTROLE
1.338262829,CONTROLE
1.334337218,LIVE
1.334451274,LIVE
7.2097448.10,CORPORATE
7.2001511,CORPORATE
1.335432817,CONTROLE
1.330542644,CONTROLE
1.261064865,CONTROLE
1.336697269,CONTROLE
1.329591156,CONTROLE
1.340660853,CONTROLE
1.85325137,CONTROLE
1.327653779,CONTROLE
1.340685087,CONTROLE
1.335448489,POS
1.330229969,CONTROLE
1.55655120,CONTROLE
7.1929514,CORPORATE
7.1992378,CORPORATE
1.340769058,POS
1.331922102,CONTROLE
1.318639905,CONTROLE
1.336379827,CONTROLE
1.74668946,CONTROLE
1.75789369,CONTROLE
7.203104510,CORPORATE
